"","protein1","protein2"
"2379782","ICAM1","CD34"
"2379793","ICAM1","CCR7"
"2379824","ICAM1","SMA"
"2379868","ICAM1","CD38"
"2379975","ICAM1","PD-L2"
"2380165","ICAM1","PD-L1"
"2380178","ICAM1","EGFR"
"2380231","ICAM1","B7-H3"
"2380339","ICAM1","pan-RAS"
"2380387","ICAM1","CD127"
"2380393","ICAM1","Tim-3"
"2380422","ICAM1","ICOS"
"2380460","ICAM1","FABP4"
"2380485","ICAM1","Her2"
"2380540","ICAM1","CD45"
"2380559","ICAM1","LAG3"
"2380584","ICAM1","GZMB"
"2380653","ICAM1","HLA-DR"
"2380672","ICAM1","CD40"
"2380897","ICAM1","CD68"
"2380918","ICAM1","CD3"
"2380943","ICAM1","TCF7"
"2380982","ICAM1","IL-18"
"2381017","ICAM1","EpCAM"
"2381053","ICAM1","GZMA"
"2381074","ICAM1","IDO1"
"2381159","ICAM1","Vimentin"
"2381211","ICAM1","CD31"
"2381280","ICAM1","CD123"
"2381356","ICAM1","IL-1b"
"2381431","ICAM1","4-1BB"
"2381439","ICAM1","CTLA4"
"2381492","ICAM1","CD4"
"2381703","ICAM1","p53"
"2381751","ICAM1","CD27"
"2381785","ICAM1","NF-kB p65"
"2381805","ICAM1","Ki-67"
"2381818","ICAM1","CD15"
"2381957","ICAM1","FOXP3"
"2382051","ICAM1","Fibronectin"
"2382083","ICAM1","iNOS"
"2563214","CD27","GZMB"
"2563242","CD27","HLA-DR"
"2563249","CD27","CD40"
"2563287","CD27","ICOS"
"2563325","CD27","Her2"
"2563344","CD27","CD45"
"2563358","CD27","LAG3"
"2563384","CD27","pan-RAS"
"2563403","CD27","CD127"
"2563415","CD27","Tim-3"
"2563457","CD27","PD-L1"
"2563471","CD27","EGFR"
"2563494","CD27","B7-H3"
"2563513","CD27","PD-L2"
"2563595","CD27","CD38"
"2563702","CD27","CD34"
"2563715","CD27","CCR7"
"2563757","CD27","Fibronectin"
"2563842","CD27","FOXP3"
"2563848","CD27","p53"
"2563888","CD27","NF-kB p65"
"2563895","CD27","Ki-67"
"2563907","CD27","CD15"
"2563985","CD27","VISTA"
